InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,Churn
No,No internet service,No internet service,No internet service,No internet service,No
DSL,No,Yes,Yes,No,No
Fiber optic,No,No,No,No,No
DSL,No,No,No,No,Yes
DSL,Yes,No,Yes,No,No
Fiber optic,No,No,No,Yes,No
DSL,Yes,No,Yes,Yes,Yes
Fiber optic,Yes,No,Yes,Yes,No
Fiber optic,No,Yes,No,Yes,Yes
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,No,Yes,No,Yes,Yes
Fiber optic,No,Yes,No,No,No
Fiber optic,No,No,No,No,Yes
Fiber optic,No,Yes,No,No,No
Fiber optic,No,Yes,Yes,No,Yes
No,No internet service,No internet service,No internet service,No internet service,No
No,No internet service,No internet service,No internet service,No internet service,No
DSL,No,No,No,No,No
DSL,Yes,No,No,Yes,No
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,No,Yes,Yes,No,No
DSL,Yes,Yes,Yes,Yes,No
Fiber optic,No,No,No,No,Yes
DSL,Yes,Yes,Yes,No,No
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,Yes,Yes,No,Yes,No
DSL,Yes,No,No,No,No
Fiber optic,Yes,Yes,Yes,Yes,No
Fiber optic,No,No,No,No,Yes
Fiber optic,No,Yes,Yes,No,No
DSL,Yes,Yes,Yes,Yes,No
DSL,No,No,No,No,No
No,No internet service,No internet service,No internet service,No internet service,No
No,No internet service,No internet service,No internet service,No internet service,No
No,No internet service,No internet service,No internet service,No internet service,No
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,No,Yes,No,No,Yes
Fiber optic,No,Yes,No,No,Yes
Fiber optic,Yes,No,No,No,Yes
DSL,No,Yes,No,Yes,No
DSL,No,No,Yes,No,No
DSL,Yes,No,No,No,Yes
No,No internet service,No internet service,No internet service,No internet service,No
DSL,No,No,Yes,Yes,No
Fiber optic,No,Yes,Yes,Yes,Yes
Fiber optic,No,No,Yes,No,No
No,No internet service,No internet service,No internet service,No internet service,No
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,No,Yes,No,No,Yes
Fiber optic,No,No,No,No,No
Fiber optic,No,No,No,No,Yes
DSL,Yes,No,Yes,Yes,Yes
Fiber optic,No,No,Yes,No,Yes
DSL,No,No,No,No,No
No,No internet service,No internet service,No internet service,No internet service,No
DSL,No,Yes,No,No,No
Fiber optic,Yes,Yes,Yes,No,Yes
DSL,Yes,Yes,Yes,Yes,No
No,No internet service,No internet service,No internet service,No internet service,No
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,No,No,No,No,No
Fiber optic,Yes,Yes,No,Yes,No
DSL,No,Yes,No,Yes,No
Fiber optic,No,Yes,Yes,Yes,No
No,No internet service,No internet service,No internet service,No internet service,No
DSL,Yes,Yes,Yes,Yes,No
Fiber optic,No,Yes,Yes,No,No
DSL,No,No,No,No,No
Fiber optic,No,Yes,Yes,Yes,No
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,No,Yes,Yes,No,No
Fiber optic,No,Yes,No,No,Yes
No,No internet service,No internet service,No internet service,No internet service,No
No,No internet service,No internet service,No internet service,No internet service,No
DSL,No,Yes,Yes,No,No
Fiber optic,No,Yes,No,No,Yes
Fiber optic,No,Yes,No,No,No
DSL,Yes,No,Yes,No,No
Fiber optic,No,No,Yes,No,Yes
Fiber optic,No,No,Yes,Yes,No
DSL,Yes,No,No,Yes,No
DSL,No,No,No,No,No
Fiber optic,No,Yes,Yes,Yes,Yes
Fiber optic,No,Yes,No,No,No
DSL,Yes,No,Yes,No,Yes
Fiber optic,Yes,Yes,Yes,Yes,No
DSL,No,No,No,No,Yes
DSL,No,No,Yes,Yes,No
DSL,Yes,Yes,No,Yes,No
DSL,No,No,No,No,No
Fiber optic,Yes,No,No,No,No
Fiber optic,No,No,No,Yes,No
Fiber optic,No,No,No,No,No
Fiber optic,Yes,Yes,No,No,No
Fiber optic,No,Yes,No,No,Yes
Fiber optic,No,No,No,No,Yes
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,No,Yes,Yes,Yes,Yes
DSL,Yes,No,No,No,No
No,No internet service,No internet service,No internet service,No internet service,No
DSL,No,Yes,No,No,No
Fiber optic,Yes,Yes,Yes,Yes,No
No,No internet service,No internet service,No internet service,No internet service,No
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,Yes,Yes,Yes,Yes,No
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,Yes,Yes,Yes,No,No
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,No,Yes,Yes,Yes,No
DSL,Yes,No,No,No,No
Fiber optic,No,Yes,No,Yes,No
No,No internet service,No internet service,No internet service,No internet service,No
DSL,No,No,No,No,Yes
Fiber optic,No,No,No,No,Yes
Fiber optic,No,No,Yes,Yes,No
Fiber optic,Yes,Yes,Yes,Yes,No
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,No,Yes,Yes,No,Yes
DSL,Yes,No,No,No,Yes
Fiber optic,Yes,Yes,Yes,Yes,No
No,No internet service,No internet service,No internet service,No internet service,No
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,Yes,No,Yes,No,No
Fiber optic,No,No,No,No,No
Fiber optic,No,No,No,No,Yes
Fiber optic,No,No,No,No,Yes
Fiber optic,No,No,No,No,Yes
Fiber optic,No,No,Yes,Yes,No
DSL,Yes,Yes,Yes,No,No
Fiber optic,No,No,No,No,No
Fiber optic,No,No,No,No,Yes
Fiber optic,No,No,No,No,Yes
DSL,No,Yes,No,Yes,No
DSL,No,Yes,Yes,No,No
No,No internet service,No internet service,No internet service,No internet service,Yes
Fiber optic,No,No,Yes,No,No
DSL,No,No,No,No,No
Fiber optic,Yes,No,Yes,Yes,No
DSL,Yes,Yes,No,Yes,No
Fiber optic,No,No,Yes,No,Yes
No,No internet service,No internet service,No internet service,No internet service,No
DSL,Yes,Yes,No,Yes,No
No,No internet service,No internet service,No internet service,No internet service,No
DSL,Yes,No,Yes,Yes,No
No,No internet service,No internet service,No internet service,No internet service,No
DSL,Yes,No,No,No,No
Fiber optic,No,No,No,No,Yes
DSL,No,No,No,No,No
No,No internet service,No internet service,No internet service,No internet service,No
DSL,No,No,No,No,Yes
DSL,No,No,No,No,No
No,No internet service,No internet service,No internet service,No internet service,No
DSL,Yes,No,No,Yes,Yes
DSL,Yes,No,Yes,Yes,Yes
DSL,Yes,No,Yes,No,No
Fiber optic,No,No,No,No,No
DSL,Yes,No,No,No,No
Fiber optic,No,No,No,No,Yes
DSL,Yes,Yes,Yes,Yes,No
Fiber optic,No,Yes,Yes,Yes,No
Fiber optic,No,No,Yes,No,Yes
Fiber optic,No,No,No,No,No
DSL,No,No,No,No,No
Fiber optic,No,Yes,Yes,No,Yes
Fiber optic,No,No,Yes,No,No
Fiber optic,No,No,No,No,Yes
DSL,No,No,Yes,No,No
DSL,No,No,Yes,No,No
DSL,No,Yes,No,No,No
Fiber optic,No,No,No,No,Yes
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,Yes,No,Yes,Yes,No
Fiber optic,No,Yes,Yes,No,No
Fiber optic,Yes,Yes,No,Yes,No
No,No internet service,No internet service,No internet service,No internet service,No
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,No,No,No,No,No
DSL,Yes,No,No,Yes,No
No,No internet service,No internet service,No internet service,No internet service,Yes
DSL,Yes,No,No,No,No
DSL,Yes,No,Yes,Yes,No
DSL,Yes,No,Yes,No,No
Fiber optic,No,No,No,No,Yes
DSL,No,No,No,No,Yes
Fiber optic,Yes,Yes,Yes,Yes,No
Fiber optic,No,No,No,No,No
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,No,Yes,Yes,No,Yes
Fiber optic,No,No,No,No,No
No,No internet service,No internet service,No internet service,No internet service,No
DSL,No,No,No,No,Yes
No,No internet service,No internet service,No internet service,No internet service,No
DSL,Yes,Yes,No,No,No
Fiber optic,Yes,Yes,Yes,Yes,No
Fiber optic,No,No,No,No,Yes
DSL,Yes,Yes,Yes,Yes,No
DSL,Yes,No,No,No,No
Fiber optic,No,No,No,No,No
Fiber optic,No,Yes,No,Yes,Yes
DSL,Yes,Yes,Yes,No,No
DSL,Yes,Yes,No,Yes,No
Fiber optic,No,Yes,No,No,Yes
Fiber optic,Yes,No,No,No,Yes
No,No internet service,No internet service,No internet service,No internet service,No
DSL,No,Yes,No,No,No
DSL,Yes,Yes,No,No,No
Fiber optic,No,No,No,No,Yes
Fiber optic,No,No,Yes,No,No
Fiber optic,No,Yes,Yes,Yes,No
DSL,Yes,Yes,Yes,Yes,No
No,No internet service,No internet service,No internet service,No internet service,No
DSL,Yes,Yes,Yes,Yes,No
No,No internet service,No internet service,No internet service,No internet service,Yes
No,No internet service,No internet service,No internet service,No internet service,No
No,No internet service,No internet service,No internet service,No internet service,No
DSL,No,No,Yes,Yes,No
DSL,Yes,Yes,Yes,Yes,No
No,No internet service,No internet service,No internet service,No internet service,No
No,No internet service,No internet service,No internet service,No internet service,No
DSL,No,Yes,No,No,Yes
DSL,No,No,No,Yes,No
Fiber optic,Yes,Yes,Yes,No,No
DSL,Yes,No,No,No,No
DSL,No,No,No,No,No
DSL,Yes,No,Yes,No,No
DSL,Yes,Yes,Yes,No,No
Fiber optic,No,Yes,No,No,Yes
DSL,Yes,Yes,Yes,Yes,No
No,No internet service,No internet service,No internet service,No internet service,Yes
No,No internet service,No internet service,No internet service,No internet service,No
No,No internet service,No internet service,No internet service,No internet service,No
DSL,No,No,No,No,No
Fiber optic,No,No,Yes,No,Yes
Fiber optic,Yes,Yes,Yes,Yes,No
DSL,No,No,No,No,Yes
Fiber optic,Yes,Yes,Yes,Yes,No
DSL,Yes,Yes,Yes,Yes,No
DSL,No,No,No,Yes,No
Fiber optic,No,Yes,Yes,Yes,No
Fiber optic,No,Yes,Yes,No,No
DSL,Yes,Yes,No,Yes,No
DSL,No,No,No,No,No
Fiber optic,No,Yes,No,Yes,No
No,No internet service,No internet service,No internet service,No internet service,No
No,No internet service,No internet service,No internet service,No internet service,No
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,No,No,No,No,No
DSL,Yes,No,Yes,No,No
DSL,Yes,No,Yes,Yes,No
DSL,No,Yes,No,No,No
DSL,Yes,No,Yes,Yes,No
DSL,No,Yes,Yes,Yes,No
Fiber optic,No,No,No,No,Yes
DSL,No,No,No,No,No
Fiber optic,Yes,No,Yes,No,No
DSL,Yes,No,Yes,Yes,No
Fiber optic,No,No,No,Yes,No
Fiber optic,No,Yes,No,No,No
Fiber optic,No,Yes,No,No,No
DSL,No,No,Yes,No,Yes
DSL,Yes,Yes,No,No,No
DSL,No,Yes,Yes,No,No
DSL,Yes,Yes,No,No,No
DSL,No,Yes,No,No,Yes
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,No,No,Yes,Yes,Yes
DSL,No,No,No,No,Yes
DSL,No,No,Yes,No,No
DSL,Yes,No,No,No,No
Fiber optic,No,No,No,No,Yes
Fiber optic,No,Yes,Yes,No,Yes
DSL,Yes,No,No,No,No
No,No internet service,No internet service,No internet service,No internet service,Yes
DSL,Yes,Yes,No,Yes,No
DSL,Yes,Yes,No,Yes,No
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,Yes,No,No,Yes,No
Fiber optic,No,No,No,No,No
DSL,Yes,No,No,No,No
Fiber optic,No,No,No,No,No
DSL,Yes,Yes,No,No,Yes
Fiber optic,No,No,Yes,No,Yes
DSL,Yes,Yes,No,No,No
Fiber optic,Yes,Yes,Yes,No,No
Fiber optic,No,No,No,No,No
DSL,Yes,No,Yes,Yes,Yes
Fiber optic,Yes,No,No,No,No
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,No,No,No,No,Yes
DSL,Yes,No,Yes,Yes,Yes
Fiber optic,No,Yes,No,No,Yes
Fiber optic,No,No,No,No,Yes
DSL,No,No,No,Yes,No
DSL,Yes,Yes,Yes,Yes,No
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,No,No,No,No,Yes
Fiber optic,No,No,No,No,Yes
DSL,Yes,No,No,No,No
DSL,No,Yes,No,Yes,No
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,No,No,No,No,No
Fiber optic,No,No,No,Yes,No
Fiber optic,Yes,No,No,Yes,No
Fiber optic,Yes,No,Yes,No,No
Fiber optic,No,Yes,No,Yes,No
No,No internet service,No internet service,No internet service,No internet service,Yes
DSL,Yes,No,No,No,No
No,No internet service,No internet service,No internet service,No internet service,No
DSL,Yes,No,No,No,No
DSL,No,No,No,No,No
Fiber optic,No,No,Yes,No,No
DSL,No,Yes,No,No,No
Fiber optic,Yes,No,No,Yes,No
Fiber optic,No,No,No,No,Yes
Fiber optic,Yes,Yes,No,No,No
No,No internet service,No internet service,No internet service,No internet service,No
DSL,No,No,No,No,Yes
DSL,Yes,Yes,No,Yes,No
DSL,No,Yes,Yes,No,No
Fiber optic,Yes,Yes,Yes,No,No
No,No internet service,No internet service,No internet service,No internet service,No
No,No internet service,No internet service,No internet service,No internet service,No
DSL,Yes,No,Yes,Yes,No
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,Yes,No,Yes,No,No
Fiber optic,No,Yes,No,No,No
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,No,No,No,No,No
Fiber optic,No,Yes,Yes,No,Yes
DSL,Yes,Yes,No,Yes,No
Fiber optic,No,No,No,No,No
Fiber optic,No,No,No,No,No
Fiber optic,Yes,Yes,Yes,No,No
No,No internet service,No internet service,No internet service,No internet service,No
No,No internet service,No internet service,No internet service,No internet service,No
DSL,No,Yes,No,No,Yes
Fiber optic,No,No,Yes,No,No
DSL,No,Yes,No,Yes,No
No,No internet service,No internet service,No internet service,No internet service,Yes
DSL,No,No,No,No,Yes
Fiber optic,No,Yes,No,No,No
Fiber optic,No,Yes,Yes,No,No
DSL,Yes,Yes,Yes,Yes,No
No,No internet service,No internet service,No internet service,No internet service,No
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,No,No,Yes,No,Yes
Fiber optic,No,Yes,No,No,No
Fiber optic,No,Yes,No,No,Yes
DSL,No,No,Yes,No,No
DSL,Yes,Yes,No,Yes,No
Fiber optic,No,No,No,No,Yes
Fiber optic,Yes,No,Yes,No,No
DSL,Yes,Yes,No,Yes,No
Fiber optic,No,No,No,No,Yes
No,No internet service,No internet service,No internet service,No internet service,No
No,No internet service,No internet service,No internet service,No internet service,No
DSL,No,Yes,No,No,Yes
Fiber optic,No,No,No,No,No
DSL,No,Yes,Yes,No,No
DSL,Yes,No,Yes,Yes,No
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,No,No,No,No,Yes
Fiber optic,Yes,Yes,Yes,Yes,No
No,No internet service,No internet service,No internet service,No internet service,No
DSL,No,No,No,No,No
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,Yes,Yes,Yes,No,No
DSL,Yes,No,No,Yes,No
DSL,No,No,Yes,No,No
DSL,Yes,Yes,Yes,Yes,No
DSL,Yes,Yes,Yes,No,No
Fiber optic,No,Yes,Yes,Yes,No
Fiber optic,No,No,No,Yes,No
No,No internet service,No internet service,No internet service,No internet service,No
DSL,No,No,Yes,No,No
DSL,Yes,No,Yes,Yes,No
Fiber optic,No,Yes,Yes,No,Yes
Fiber optic,Yes,Yes,Yes,Yes,No
No,No internet service,No internet service,No internet service,No internet service,Yes
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,No,No,No,No,No
DSL,No,No,No,Yes,Yes
No,No internet service,No internet service,No internet service,No internet service,No
No,No internet service,No internet service,No internet service,No internet service,No
DSL,No,No,No,No,No
DSL,Yes,Yes,Yes,Yes,No
Fiber optic,No,No,No,No,No
DSL,No,No,No,No,Yes
Fiber optic,No,No,Yes,No,No
Fiber optic,No,No,No,Yes,Yes
DSL,No,Yes,No,Yes,No
Fiber optic,No,No,Yes,No,Yes
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,No,No,Yes,Yes,No
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,No,No,Yes,Yes,Yes
DSL,Yes,Yes,No,Yes,No
Fiber optic,Yes,No,No,Yes,Yes
Fiber optic,No,Yes,Yes,Yes,No
No,No internet service,No internet service,No internet service,No internet service,No
No,No internet service,No internet service,No internet service,No internet service,No
No,No internet service,No internet service,No internet service,No internet service,No
DSL,Yes,No,No,Yes,No
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,No,No,No,No,No
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,No,No,Yes,Yes,Yes
DSL,Yes,No,Yes,Yes,No
No,No internet service,No internet service,No internet service,No internet service,No
No,No internet service,No internet service,No internet service,No internet service,No
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,No,Yes,No,No,No
DSL,Yes,No,Yes,No,No
Fiber optic,Yes,Yes,Yes,Yes,No
DSL,Yes,No,No,Yes,No
DSL,No,Yes,Yes,Yes,No
DSL,No,Yes,No,Yes,No
DSL,No,No,Yes,No,No
Fiber optic,No,Yes,Yes,No,Yes
Fiber optic,No,No,No,No,Yes
DSL,No,No,No,Yes,Yes
Fiber optic,No,Yes,No,No,Yes
Fiber optic,No,Yes,Yes,Yes,No
DSL,Yes,Yes,Yes,Yes,No
Fiber optic,No,No,No,No,No
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,No,Yes,No,No,No
No,No internet service,No internet service,No internet service,No internet service,No
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,Yes,Yes,Yes,Yes,No
Fiber optic,No,No,No,No,No
No,No internet service,No internet service,No internet service,No internet service,No
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,No,No,No,No,Yes
DSL,Yes,Yes,No,Yes,No
Fiber optic,No,No,No,No,Yes
Fiber optic,Yes,Yes,Yes,Yes,No
Fiber optic,Yes,No,No,No,Yes
DSL,Yes,Yes,Yes,Yes,No
Fiber optic,No,No,No,No,Yes
DSL,Yes,No,Yes,Yes,No
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,Yes,Yes,Yes,Yes,No
No,No internet service,No internet service,No internet service,No internet service,No
DSL,No,No,Yes,No,Yes
No,No internet service,No internet service,No internet service,No internet service,No
DSL,No,Yes,Yes,No,No
Fiber optic,No,Yes,Yes,No,Yes
DSL,Yes,Yes,Yes,No,Yes
No,No internet service,No internet service,No internet service,No internet service,No
DSL,Yes,No,No,Yes,No
No,No internet service,No internet service,No internet service,No internet service,No
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,Yes,Yes,Yes,No,No
Fiber optic,Yes,Yes,No,Yes,No
Fiber optic,No,Yes,Yes,Yes,No
DSL,No,Yes,Yes,No,No
Fiber optic,Yes,Yes,Yes,Yes,No
DSL,Yes,Yes,Yes,Yes,No
DSL,No,No,Yes,No,No
Fiber optic,No,No,Yes,No,No
Fiber optic,Yes,Yes,No,No,Yes
DSL,No,No,Yes,No,Yes
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,No,Yes,Yes,No,No
Fiber optic,Yes,No,Yes,Yes,Yes
No,No internet service,No internet service,No internet service,No internet service,Yes
DSL,No,No,Yes,Yes,No
DSL,No,Yes,No,Yes,No
DSL,Yes,No,Yes,No,Yes
Fiber optic,Yes,Yes,Yes,Yes,No
Fiber optic,No,Yes,Yes,No,No
Fiber optic,No,No,No,Yes,Yes
Fiber optic,Yes,Yes,No,Yes,Yes
DSL,Yes,Yes,Yes,Yes,No
Fiber optic,No,Yes,No,Yes,No
Fiber optic,Yes,Yes,Yes,No,Yes
DSL,Yes,Yes,Yes,Yes,No
No,No internet service,No internet service,No internet service,No internet service,No
No,No internet service,No internet service,No internet service,No internet service,Yes
Fiber optic,No,No,No,Yes,Yes
No,No internet service,No internet service,No internet service,No internet service,No
No,No internet service,No internet service,No internet service,No internet service,No
DSL,No,Yes,No,No,Yes
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,No,Yes,Yes,No,No
No,No internet service,No internet service,No internet service,No internet service,No
No,No internet service,No internet service,No internet service,No internet service,No
DSL,Yes,Yes,No,No,No
Fiber optic,No,No,Yes,No,No
Fiber optic,No,No,No,No,No
Fiber optic,No,No,No,No,No
DSL,Yes,Yes,No,Yes,No
Fiber optic,Yes,No,No,No,No
Fiber optic,No,No,Yes,Yes,Yes
Fiber optic,No,No,Yes,No,Yes
No,No internet service,No internet service,No internet service,No internet service,No
DSL,No,No,No,Yes,Yes
Fiber optic,Yes,Yes,No,Yes,No
Fiber optic,No,No,No,No,Yes
Fiber optic,No,No,No,No,Yes
Fiber optic,Yes,No,No,No,No
DSL,Yes,Yes,No,Yes,No
DSL,Yes,No,Yes,Yes,Yes
DSL,Yes,No,No,Yes,No
DSL,No,No,No,No,No
DSL,Yes,Yes,No,No,No
No,No internet service,No internet service,No internet service,No internet service,No
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,Yes,No,No,No,No
No,No internet service,No internet service,No internet service,No internet service,No
No,No internet service,No internet service,No internet service,No internet service,No
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,Yes,Yes,No,Yes,No
Fiber optic,No,No,No,No,Yes
Fiber optic,No,No,No,No,No
DSL,No,No,Yes,No,No
DSL,Yes,Yes,Yes,Yes,No
DSL,No,Yes,No,No,Yes
DSL,No,Yes,Yes,Yes,No
Fiber optic,No,Yes,No,Yes,No
Fiber optic,No,Yes,No,No,Yes
Fiber optic,No,No,No,No,Yes
DSL,Yes,Yes,Yes,Yes,No
No,No internet service,No internet service,No internet service,No internet service,No
DSL,No,Yes,No,Yes,No
Fiber optic,Yes,No,Yes,Yes,No
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,No,No,Yes,No,No
Fiber optic,No,No,No,No,No
Fiber optic,No,No,No,No,Yes
DSL,Yes,No,Yes,No,No
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,No,No,No,No,Yes
Fiber optic,No,No,No,No,No
DSL,No,No,No,No,No
Fiber optic,Yes,No,Yes,No,Yes
Fiber optic,No,Yes,Yes,No,Yes
No,No internet service,No internet service,No internet service,No internet service,No
DSL,Yes,No,No,Yes,No
Fiber optic,Yes,Yes,No,Yes,No
Fiber optic,Yes,No,No,No,No
Fiber optic,No,No,Yes,No,No
Fiber optic,Yes,Yes,No,Yes,No
Fiber optic,No,Yes,No,No,No
DSL,No,No,Yes,Yes,No
DSL,No,No,Yes,Yes,No
DSL,No,No,No,Yes,No
DSL,No,No,No,No,Yes
DSL,Yes,No,Yes,No,No
Fiber optic,No,No,No,No,Yes
DSL,No,Yes,Yes,No,No
No,No internet service,No internet service,No internet service,No internet service,No
DSL,Yes,Yes,No,Yes,No
Fiber optic,No,Yes,No,Yes,No
No,No internet service,No internet service,No internet service,No internet service,Yes
Fiber optic,Yes,No,No,No,Yes
DSL,No,No,No,No,No
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,Yes,Yes,Yes,No,No
Fiber optic,No,No,Yes,No,Yes
No,No internet service,No internet service,No internet service,No internet service,No
DSL,No,No,No,No,No
No,No internet service,No internet service,No internet service,No internet service,No
No,No internet service,No internet service,No internet service,No internet service,No
DSL,No,No,No,No,No
Fiber optic,No,Yes,No,No,No
Fiber optic,Yes,No,No,No,No
DSL,Yes,Yes,No,Yes,No
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,No,No,No,No,No
DSL,Yes,Yes,Yes,Yes,No
DSL,No,No,Yes,Yes,No
Fiber optic,Yes,No,No,No,No
DSL,No,No,Yes,Yes,No
Fiber optic,No,No,No,No,Yes
DSL,No,No,No,No,Yes
DSL,Yes,No,Yes,Yes,No
No,No internet service,No internet service,No internet service,No internet service,No
No,No internet service,No internet service,No internet service,No internet service,No
No,No internet service,No internet service,No internet service,No internet service,No
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,Yes,Yes,Yes,Yes,No
Fiber optic,Yes,Yes,No,No,No
Fiber optic,No,No,No,No,No
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,No,No,Yes,No,No
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,No,No,Yes,No,Yes
DSL,No,No,No,No,No
DSL,Yes,Yes,Yes,Yes,No
Fiber optic,No,Yes,Yes,No,Yes
No,No internet service,No internet service,No internet service,No internet service,No
DSL,Yes,Yes,No,Yes,Yes
No,No internet service,No internet service,No internet service,No internet service,No
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,Yes,No,No,No,No
DSL,Yes,Yes,No,Yes,No
DSL,No,No,No,Yes,No
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,No,No,No,No,Yes
DSL,No,No,Yes,Yes,No
Fiber optic,No,Yes,Yes,No,Yes
DSL,No,No,No,No,Yes
Fiber optic,Yes,Yes,Yes,Yes,No
DSL,Yes,No,Yes,No,No
Fiber optic,Yes,Yes,Yes,Yes,No
DSL,No,No,No,No,No
Fiber optic,Yes,Yes,No,Yes,No
DSL,Yes,Yes,No,Yes,Yes
DSL,No,Yes,Yes,No,No
Fiber optic,No,Yes,Yes,No,No
Fiber optic,No,Yes,No,No,Yes
DSL,Yes,Yes,Yes,Yes,No
No,No internet service,No internet service,No internet service,No internet service,No
DSL,Yes,No,Yes,No,No
DSL,Yes,Yes,Yes,Yes,No
Fiber optic,No,Yes,No,No,No
DSL,Yes,No,Yes,Yes,No
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,No,Yes,Yes,No,Yes
No,No internet service,No internet service,No internet service,No internet service,No
DSL,Yes,Yes,Yes,No,No
DSL,No,Yes,No,No,No
Fiber optic,No,No,No,No,Yes
DSL,Yes,Yes,Yes,No,Yes
No,No internet service,No internet service,No internet service,No internet service,No
DSL,Yes,No,Yes,Yes,No
Fiber optic,No,Yes,No,No,No
Fiber optic,No,Yes,No,No,No
DSL,No,Yes,Yes,No,No
DSL,No,No,No,No,Yes
DSL,Yes,Yes,No,No,No
Fiber optic,No,No,No,Yes,No
Fiber optic,No,No,Yes,Yes,No
Fiber optic,No,No,Yes,Yes,Yes
DSL,Yes,Yes,Yes,Yes,No
DSL,Yes,Yes,No,Yes,No
Fiber optic,No,No,No,No,No
DSL,Yes,Yes,No,Yes,No
Fiber optic,No,No,No,No,No
Fiber optic,Yes,Yes,Yes,No,No
Fiber optic,No,Yes,No,No,No
DSL,Yes,Yes,Yes,No,No
Fiber optic,No,No,Yes,No,No
No,No internet service,No internet service,No internet service,No internet service,No
No,No internet service,No internet service,No internet service,No internet service,No
DSL,No,Yes,No,No,No
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,No,No,No,No,Yes
DSL,No,No,No,No,No
No,No internet service,No internet service,No internet service,No internet service,Yes
Fiber optic,Yes,Yes,Yes,No,No
Fiber optic,No,No,No,No,Yes
Fiber optic,Yes,Yes,No,Yes,No
Fiber optic,No,Yes,No,No,Yes
Fiber optic,No,Yes,Yes,No,No
DSL,No,Yes,No,Yes,Yes
Fiber optic,No,No,No,No,No
DSL,Yes,Yes,Yes,Yes,No
Fiber optic,No,No,Yes,No,Yes
No,No internet service,No internet service,No internet service,No internet service,No
DSL,No,No,Yes,No,Yes
No,No internet service,No internet service,No internet service,No internet service,No
Fiber optic,Yes,No,No,No,No
Fiber optic,No,Yes,Yes,No,Yes
Fiber optic,No,Yes,No,No,Yes
Fiber optic,No,No,Yes,Yes,No
Fiber optic,No,No,No,Yes,No
Fiber optic,No,No,Yes,No,Yes
Fiber optic,No,No,No,No,Yes
Fiber optic,Yes,No,Yes,No,Yes
DSL,No,No,Yes,No,No
Fiber optic,No,No,No,No,Yes
DSL,No,No,Yes,Yes,No
No,No internet service,No internet service,No internet service,No internet service,Yes
Fiber optic,Yes,Yes,Yes,Yes,No
DSL,No,No,No,No,No
